Aguascalientes	Aguascalientes	1001
Aguascalientes	Asientos	1002
Aguascalientes	Calvillo	1003
Aguascalientes	Cosio	1004
Aguascalientes	Jesus Maria	1005
Aguascalientes	Pabellon de Arteaga	1006
Aguascalientes	Rincon de Romos	1007
Aguascalientes	San Jose de Gracia	1008
Aguascalientes	Tepezala	1009
Aguascalientes	El Llano	1010
Aguascalientes	San Francisco de los Romo	1011
Baja California	Ensenada	2001
Baja California	Mexicali	2002
Baja California	Tecate	2003
Baja California	Tijuana	2004
Baja California	Playas de Rosarito	2005
Baja California Sur	Comondu	3001
Baja California Sur	Mulege	3002
Baja California Sur	La Paz	3003
Baja California Sur	Los Cabos	3008
Baja California Sur	Loreto	3009
Campeche	Calkini	4001
Campeche	Campeche	4002
Campeche	Carmen	4003
Campeche	Champoton	4004
Campeche	Hecelchakan	4005
Campeche	Hopelchen	4006
Campeche	Palizada	4007
Campeche	Tenabo	4008
Campeche	Escarcega	4009
Campeche	Calakmul	4010
Campeche	Candelaria	4011
Coahuila de Zaragoza	Abasolo	5001
Coahuila de Zaragoza	Acuna	5002
Coahuila de Zaragoza	Allende	5003
Coahuila de Zaragoza	Arteaga	5004
Coahuila de Zaragoza	Candela	5005
Coahuila de Zaragoza	Castanos	5006
Coahuila de Zaragoza	Cuatro Cienegas	5007
Coahuila de Zaragoza	Escobedo	5008
Coahuila de Zaragoza	Francisco I. Madero	5009
Coahuila de Zaragoza	Frontera	5010
Coahuila de Zaragoza	General Cepeda	5011
Coahuila de Zaragoza	Guerrero	5012
Coahuila de Zaragoza	Hidalgo	5013
Coahuila de Zaragoza	Jimenez	5014
Coahuila de Zaragoza	Juarez	5015
Coahuila de Zaragoza	Lamadrid	5016
Coahuila de Zaragoza	Matamoros	5017
Coahuila de Zaragoza	Monclova	5018
Coahuila de Zaragoza	Morelos	5019
Coahuila de Zaragoza	Muzquiz	5020
Coahuila de Zaragoza	Nadadores	5021
Coahuila de Zaragoza	Nava	5022
Coahuila de Zaragoza	Ocampo	5023
Coahuila de Zaragoza	Parras	5024
Coahuila de Zaragoza	Piedras Negras	5025
Coahuila de Zaragoza	Progreso	5026
Coahuila de Zaragoza	Ramos Arizpe	5027
Coahuila de Zaragoza	Sabinas	5028
Coahuila de Zaragoza	Sacramento	5029
Coahuila de Zaragoza	Saltillo	5030
Coahuila de Zaragoza	San Buenaventura	5031
Coahuila de Zaragoza	San Juan de Sabinas	5032
Coahuila de Zaragoza	San Pedro	5033
Coahuila de Zaragoza	Sierra Mojada	5034
Coahuila de Zaragoza	Torreon	5035
Coahuila de Zaragoza	Viesca	5036
Coahuila de Zaragoza	Villa Union	5037
Coahuila de Zaragoza	Zaragoza	5038
Colima	Armeria	6001
Colima	Colima	6002
Colima	Comala	6003
Colima	Coquimatlan	6004
Colima	Cuauhtemoc	6005
Colima	Ixtlahuacan	6006
Colima	Manzanillo	6007
Colima	Minatitlan	6008
Colima	Tecoman	6009
Colima	Villa de alvarez	6010
Chiapas	Acacoyagua	7001
Chiapas	Acala	7002
Chiapas	Acapetahua	7003
Chiapas	Altamirano	7004
Chiapas	Amatan	7005
Chiapas	Amatenango de la Frontera	7006
Chiapas	Amatenango del Valle	7007
Chiapas	Angel Albino Corzo	7008
Chiapas	Arriaga	7009
Chiapas	Bejucal de Ocampo	7010
Chiapas	Bella Vista	7011
Chiapas	Berriozabal	7012
Chiapas	Bochil	7013
Chiapas	El Bosque	7014
Chiapas	Cacahoatan	7015
Chiapas	Catazaja	7016
Chiapas	Cintalapa	7017
Chiapas	Coapilla	7018
Chiapas	Comitan de Dominguez	7019
Chiapas	La Concordia	7020
Chiapas	Copainala	7021
Chiapas	Chalchihuitan	7022
Chiapas	Chamula	7023
Chiapas	Chanal	7024
Chiapas	Chapultenango	7025
Chiapas	Chenalho	7026
Chiapas	Chiapa de Corzo	7027
Chiapas	Chiapilla	7028
Chiapas	Chicoasen	7029
Chiapas	Chicomuselo	7030
Chiapas	Chilon	7031
Chiapas	Escuintla	7032
Chiapas	Francisco Leon	7033
Chiapas	Frontera Comalapa	7034
Chiapas	Frontera Hidalgo	7035
Chiapas	La Grandeza	7036
Chiapas	Huehuetan	7037
Chiapas	Huixtan	7038
Chiapas	Huitiupan	7039
Chiapas	Huixtla	7040
Chiapas	La Independencia	7041
Chiapas	Ixhuatan	7042
Chiapas	Ixtacomitan	7043
Chiapas	Ixtapa	7044
Chiapas	Ixtapangajoya	7045
Chiapas	Jiquipilas	7046
Chiapas	Jitotol	7047
Chiapas	Juarez	7048
Chiapas	Larrainzar	7049
Chiapas	La Libertad	7050
Chiapas	Mapastepec	7051
Chiapas	Las Margaritas	7052
Chiapas	Mazapa de Madero	7053
Chiapas	Mazatan	7054
Chiapas	Metapa	7055
Chiapas	Mitontic	7056
Chiapas	Motozintla	7057
Chiapas	Nicolas Ruiz	7058
Chiapas	Ocosingo	7059
Chiapas	Ocotepec	7060
Chiapas	Ocozocoautla de Espinosa	7061
Chiapas	Ostuacan	7062
